name,symbol,contractAddress,marketCap,peakMarketCap,pairCreatedAt,xLink,wallets
Sidelined,SIDELINED,2WtUR7mUe545YXTmGj5ZBLZSR2haKcEsPQKG4dC9djQc,2197.52,10429.07508544746,"07/08/2026, 11:03:46 CDT",,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK; FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR; 2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9
PROSPERITY,PROSPERITY,GbBe4VJzB7SkDNUgoNFSbEjcH23KAo1ZS6XQMy77pump,2164.13,10523.074527390245,"07/08/2026, 10:53:40 CDT",,Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt
AnsemKintaraManletCatsTriplet,AKMCT,Z6Rp63UXoqwtu46SRB4FC3ec5rYKskExk8kJfd1pump,2181.56,13614.572596487913,"07/08/2026, 10:49:02 CDT",,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
AnsemBot,BOTSEM,6oequGBBx8LQaknngt8gbvAht2MC68JTQUHVrufHpump,2630.25,20143.65153800492,"07/08/2026, 10:47:27 CDT",https://x.com/koopatroopwa/status/2074882942212489726,831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs; PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt
freg,freg,DQMYJk6h8UNYnwFNiGodV2dbcCwKYv57pypWBc6Zpump,2214.19,17647.254499935214,"07/08/2026, 10:30:03 CDT",https://x.com/fregfregPF,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt
Boob Coin,Boob,8z9WFmY491Pwomwi5ghbsH1ZLjECoY3PAGMmp9mNpump,2266.85,10761.507195271904,"07/08/2026, 10:25:17 CDT",,FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS; suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK; FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR; 2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f; Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt
I'm Tired Boss,TIRED,GusTCPPYm5C6hF7zFUypXHkzFbigHBer9oiqEp5Xpump,2191.04,12612.167384553557,"07/08/2026, 10:22:02 CDT",,FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS; Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
return to tradition,tradition,EeGcwDXZU57RqVZgyy4Tt1n1fRqwLvM1f7SBjAx9pump,2186.74,12657.935981930443,"07/08/2026, 10:17:31 CDT",https://x.com/thenormiecalvin/status/2074883739071439191,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN
Silk,Silk,F1BKiK3S2yZeBgPWeQXNKYaZK18ufNMKm5qVHTdzpump,2200.51,12512.667073209417,"07/08/2026, 10:06:23 CDT",,FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS; PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
Yagiz bot,YAGIZBOT,5hgCJMpUbd5pPig7Y14XUjUmwnYqMQ32PLX4NWHSo4zK,2755.34,22119.108709998884,"07/08/2026, 09:54:53 CDT",,831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs; 286CHN57Km41GsAnDv866WKd6YB6HPSjFgF4rGDJTRLf; 8fsKLLtvKNanL4ginCaiRS6UfeemY11rSf8U8fN1dJw4; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU
BullCoin,BULL,7w1kLhkW528yxzaSSRisVHjSvaNxhVmuryzAtCxmsgKg,2182.95,24977.271915480993,"07/08/2026, 09:52:24 CDT",,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN
Imposter,Imposter,6KenVGoMJ2Wd8Edam6hQSBeftBMM8qpoZDENwnTNhood,2456.68,14161.63010453771,"07/08/2026, 09:51:49 CDT",https://x.com/abrawlerj/status/2074869027252355380,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK; FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR; 2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; DPNPVvoGdwNBY849ryx2JZzakWuWbDTfSUYr8aNfKLwA
Pill In Hood,PIH,HdxYK1EsbNU3g9BTK5zRoTv7eLSV3fGqfCkDHHCT4XQm,2202.96,10411.85314102115,"07/08/2026, 09:42:17 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
Cash,Cash,AQuefz3yVCk4owLhU9S6ek4rKbxvrYTjZjnKPaGZzTza,2154.82,11226.941072985224,"07/08/2026, 09:37:22 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
Crypto + Stocks,CROCS,5HqKWaZrQTFmkMQw5AJt4iqmLNUepeyoTbaDaKFHpump,2504.21,24184.031738163412,"07/08/2026, 09:34:19 CDT",https://x.com/i/communities/1969838632333672723,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
