name,symbol,contractAddress,marketCap,peakMarketCap,pairCreatedAt,xLink,wallets
Bartholomew,Bartholomew,H6SPXLFGEBrC8wLjnN8BHJU62HCJmEpQzMcDUxWmpump,2182.49,11483.19093386271,"07/21/2026, 07:01:42 CDT",,VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1
Quiet On The Creek,QUIET,8yAYWCDqjt9rQxaZRR6EZ7ZH5Pm9vtqA79b4MYJE6p4d,2188.63,11489.344189337191,"07/21/2026, 07:00:12 CDT",,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd
Justice For Marius Dick,Marius,Ht79VkTsWYBPbHT3PNfiqSkcCPDymjYrt2ZY6Aq6pump,2176.89,12173.594857767217,"07/21/2026, 06:52:53 CDT",,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd
Bitcoin on Solana,BTC,6cEgcWaAdskbwmtwpA8x9vdY3VYz9ATvdXxM53Ybpump,2191.17,18549.01784376925,"07/21/2026, 06:48:22 CDT",,71PCu3E4JP5RDBoY6wJteqzxkKNXLyE1byg5BTAL9UtQ; JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN
The Stochastic Parrot,Parrot,HEnb4GgiQHE7Cgjz2SVvSreAWo9Qj99uyh4kBtxjpump,2773.63,17606.21091567611,"07/21/2026, 06:47:59 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU
American AI,AI,J22ngg6GbUETdH384NmbELZERVnZALTnCx8sqX5Epump,2192.58,10566.872363012453,"07/21/2026, 06:47:08 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
MeiMei,妹妹,2768R5iCze5b1Mq3vVRbwn8PisdNgBCTbfbjDN4Vpump,2549.45,11897.386194448905,"07/21/2026, 06:42:36 CDT",,71PCu3E4JP5RDBoY6wJteqzxkKNXLyE1byg5BTAL9UtQ; D4yrdUWHTf2wUWr7TZc3gZdMLsZ77y6RfHN4U28etf1j
The Debug Project,Mosquito,GZQ9m5PnHgZXysLmisNT62Msm9WesT14ZyQm9Rjbpump,2550.36,12687.000040376985,"07/21/2026, 06:36:11 CDT",,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd; VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1
The Debug Project,Mosquitoe ,Gz33iKdr83mCErWbndVmEcXoVgBsy9D396qxvioUpump,2540.33,10392.83397467118,"07/21/2026, 06:36:01 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU
Pepper the Pomchi,Pepper,EnEfvTCVPh6DMVD3u5maBPVYNF2cJEnCSnSaBkwSpump,2209.65,17331.98014313745,"07/21/2026, 06:13:43 CDT",,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd
dogintoolbox,Pepper,5LW5x26P7ewThUD3YP5XobWk9UGyJYm71izfcsuEpump,2190.31,10036.209532479554,"07/21/2026, 05:59:10 CDT",,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd
The Underwear Thief,THIEF,FBzbsXAkTGG1HJBR4jEFJd7n1psm5eeqjhhEDMhNpump,2250.96,14067.017771906072,"07/21/2026, 05:54:41 CDT",,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG
Underwear Stealing Beaver,USB,HmTZvTVcCpxfkqYdaj22vm4ENdhzEqKtC8k9X1tvpump,2558.58,24186.350007228997,"07/21/2026, 05:52:27 CDT",,VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1
Computer #5,5,FW5YXmoTY9sWMqr5wQ1xGjoxvY6MyyMgNNcXSTbEpump,3146.9,19925.14543528862,"07/21/2026, 05:44:06 CDT",https://x.com/i/communities/1917623187086459251,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd
Tung Tung Tung Yahu,TripleY,8kTWL8kUiCBmNfi2G4NmpeK3vLYm6oGRNhFsG98apump,4828.55,15887.356113722588,"07/21/2026, 05:27:31 CDT",,GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65; J6TDXvarvpBdPXTaTU8eJbtso1PUCYKGkVtMKUUY8iEa
Tien,缇恩,GwPzV4yV6dQQBsZNQ34hLXufGDfpPpP2zfgPXtCLpump,2446.23,19488.30927485606,"07/21/2026, 05:25:31 CDT",,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd; gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV
doomscroll cat,scrollcat,9YgQAGcRkxRJzd2ig3xTgawoh2uv4yxpg5r3o5yhpump,2573.49,21727.67237842639,"07/21/2026, 05:23:42 CDT",,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG; 96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda
モザイヌ2,モザイヌ2,7wDGfHs4pmnq5xpsgJ6XvVrZENTcU7G9VzGjQ18Qpump,2388.36,12192.683010764551,"07/21/2026, 05:23:24 CDT",,3kebnKw7cPdSkLRfiMEALyZJGZ4wdiSRvmoN4rD1yPzV; GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65; BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd
Vote For Arnie,ARNIE,CaCurDySrbXRvrf14gqR53EbnTwscM51rnvmbrgDpump,2183.89,13027.05328951632,"07/21/2026, 04:54:06 CDT",,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd
Muskonomy ETF,Muskonomy,BTm8TzpxqEWY1ozuX26Z6Z9v7LNjFeX4Z7Y4n9Wqpump,2407.24,20455.76299533419,"07/21/2026, 04:51:27 CDT",,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; F5XvCe4233m6mHRbkkq2ZsFvqrPAnRrDBExeQy2fwagQ
Stank Memes,STANK,CXa9jtiJHYmcQardeoKbdfTvQ1SYB3SPuK41WnHqpump,2678.28,21982.871699266805,"07/21/2026, 04:46:17 CDT",,GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65; 5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG; BHREKFkPQgAtDs8Vb1UfLkUpjG6ScidTjHaCWFuG2AtX
The cage is all I know,Ina,Fzk4r96jUWLffm2R4bhLdu1Kb47LjVcYY5rYXpfKpump,2251.23,17369.904222241454,"07/21/2026, 04:29:53 CDT",,GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65; 71PCu3E4JP5RDBoY6wJteqzxkKNXLyE1byg5BTAL9UtQ; BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd; Hw5UKBU5k3YudnGwaykj5E8cYUidNMPuEewRRar5Xoc7
Troon,Troon,HpAXgKZBkxEVCW6hZkrtyjj9m7knPhcYjio7R2n6pump,2248.69,15583.053785087486,"07/21/2026, 04:17:37 CDT",https://x.com/humanevolvd/status/2079495861311033378?s=46,5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg
Cat on Melon,COM,33XHvWm5kpeWJFnwkYHbafhx6zcgcDN7RcdZRKmbpump,2215.36,13645.966137105102,"07/21/2026, 04:12:24 CDT",,CgaA9a1JwAXJyfHuvZ7VW8YfTVRkdiT5mjBBSKcg7Rz5; 96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda
Dogecoin Dark,DOGED,DUVsG2QGamijpu9DKs6nXJuPTsgqcgsPYXPF3mzypump,2242.51,21510.067313633823,"07/21/2026, 04:10:26 CDT",,BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr; BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd
Scroll To Win,S2W,YixPLN3a7i1XLsFh1XDtfzY8oPGzEounvUpzPGWpump,2178.78,12192.671204108305,"07/21/2026, 03:58:44 CDT",https://x.com/Tuffdevonchain/status/2079494221354893633,922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG
Sharik,Шарик,CwUtg9wBDnnYh26L931vcozwvJdTuFH14cE5BmbeVJxd,2196.01,13445.668851764758,"07/21/2026, 03:55:27 CDT",,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; 922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG
Trans Wojak,Transjak,5oJwi2auD4PHatbveheS2FeL37B1b3DqKFM7SkFypump,6938.17,22301.66008002067,"07/21/2026, 03:54:34 CDT",,GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65; BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd; 6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3
regards,regards,5QrumhGVT8hE5PQtxqfDGazuLjfn4S6UDGbNpupbpump,2177.95,15226.824052207812,"07/21/2026, 03:02:32 CDT",,Hw5UKBU5k3YudnGwaykj5E8cYUidNMPuEewRRar5Xoc7
Chudcel Groyper,CHUDCEL,EWWoZJ4ANGubSk7GwfCs3W5cPA5KtwMLoBUUYPtSpump,2183.4,18035.916986126027,"07/21/2026, 02:58:21 CDT",,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd; 922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG; D9gQ6RhKEpnobPBUdWY5bPQt2p3zGk3iVz6ChpUi2ArA; BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd; VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1; 5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg
We are going to steal the moon,SAM,ArzFoiT6n2xLwvZrGUL6rkDDGhA8xU5LTYLx8Nrbpump,2546.63,12956.615018839004,"07/21/2026, 02:53:21 CDT",,922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG
Axel the Dog,Axel,69DNxGC9KeVEihCFnTWxveYnyfBazc55jtzQwKp5pump,2189.42,14127.693515474353,"07/21/2026, 02:37:04 CDT",,922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG; Hw5UKBU5k3YudnGwaykj5E8cYUidNMPuEewRRar5Xoc7
a piece of poop,POOP,Gv5Mwc5V8TGVLHzjq2VGjCRHYzGW5j8Xv6PV6ywbpump,2847.48,18837.4970121197,"07/21/2026, 02:27:19 CDT",https://x.com/CATonRH/status/2079468249377358125,4sAUSQFdvWRBxR8UoLBYbw8CcXuwXWxnN8pXa4mtm5nU; BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd; 71PCu3E4JP5RDBoY6wJteqzxkKNXLyE1byg5BTAL9UtQ; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU; FAicXNV5FVqtfbpn4Zccs71XcfGeyxBSGbqLDyDJZjke
Blue Pepe,BPEPE,H2vJJxuyU88JewY6GaZe1AZVFU7APdsmwusX2PxQpump,2189.07,18477.99623256664,"07/21/2026, 02:18:47 CDT",,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd
PVE,PVE,7nRBZUjG6SVfn3gByEuPYjo5PVKUAuZMThrnbG5fpump,2737.63,12715.48117838036,"07/21/2026, 01:57:10 CDT",,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG
dank nut,DNUT,F485ZMgCAmhgMTqnnwhd5FgQwJu5uTA8qUGgfWrKpump,2209.84,19672.206241376425,"07/21/2026, 01:41:56 CDT",,EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK
outsider in a world of insiders,outsider,AAtf5fpVocREmC1voVyUdm4SnnHNixKWEQdnUKJEpump,2176.51,12237.755423849683,"07/21/2026, 01:38:04 CDT",,EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK
kiri,KIRI,B6KHASKVwoepvmGd6PGGx8PWtcUQB7E7Wtbc47DTpump,2204.46,12928.851244608944,"07/21/2026, 01:11:55 CDT",,EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK; 922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG; 5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg
42069,42069,AGBYngch8G51GjmLAHvc3CXCVhnricnFuvbhaRgDGd7q,2216.35,14003.458827158449,"07/21/2026, 01:11:54 CDT",,EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK
workhorse,workhorse,A4QiRrj8fnzWMkq5jHhan83YybtuECz5DEdTUR4spump,2216.23,14566.785480556711,"07/21/2026, 01:09:21 CDT",,922VvmmYDHV9KMTJJ71Y5Yd3Vn7cfJuFasLNSsZPygrG; 5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg
