name,symbol,contractAddress,marketCap,peakMarketCap,pairCreatedAt,xLink,wallets
debt cat,debtcat,EY787jVBjV9tAZk1J7oQqkZafeHxJd5t3Edev6NYpump,2305.57,10946.687705450162,"07/11/2026, 06:05:49 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
Robin Wifout Hood,Wifout,8BmoDXcVJaQdeAr1X3x72DvoREfwQWqHBStYgXAspump,2338.62,13788.857100452631,"07/11/2026, 06:02:46 CDT",,DVMkhiQe1D8yenuEgsW44NjRn9LfVQjGEpZcez5x7Mff; FczAVrSD8WPAymBhWrcFy8QsRjgDqmFkuqWa1KkAbzuD; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV
fube,FUBE,CwVK2QkFESANM2Mqmcb2EMcJeBM7Fp7kb98JYysjRC1P,2191.24,15446.840920279206,"07/11/2026, 05:54:15 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV
nuxa,nuxa,4ztRQN555NQJ7cERQuEtj8C9vTD6aL1yqcY73HHFpump,2223.36,12329.634124746124,"07/11/2026, 05:51:54 CDT",,gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV; D4yrdUWHTf2wUWr7TZc3gZdMLsZ77y6RfHN4U28etf1j
Rubin Huud,HUUD,WFXumogerJEmPiCATyJyHmjAREXLgbm61WTwgxjH1Xf,2195.13,14873.25864970386,"07/11/2026, 05:50:02 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV; D4yrdUWHTf2wUWr7TZc3gZdMLsZ77y6RfHN4U28etf1j
All Bridges Lead To,SOLANA,7MUR75NTUFtEbvZdaPQXoJdtYvbBTZ7ASbMRnKnRpump,2199.86,16439.91210312773,"07/11/2026, 05:48:43 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV
FELU,FELU,BbWyoVzg8rj8EnBQApZZgmGPCwPG3ysXDEmFCQ3Bpump,2217.67,24298.702553237203,"07/11/2026, 05:27:24 CDT",,DVMkhiQe1D8yenuEgsW44NjRn9LfVQjGEpZcez5x7Mff; FczAVrSD8WPAymBhWrcFy8QsRjgDqmFkuqWa1KkAbzuD
KAREN KOINS,KARENKOINS,E8VRpufcDraTziXQAQVCNtGNYHUmaGkCuVzyarZVpump,3701.95,16488.90909162182,"07/11/2026, 05:05:55 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
debt dog,debtdog,6pANFv4mBHFbyf1gjnrmthjZW6TrHy5yV8FP31hTpump,2772.32,12655.877374079659,"07/11/2026, 04:16:04 CDT",,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV
Hoodrat,HOODRAT,GLo5wPLckFspEgiGJbuT1zJr9LPJY2MCDs6DfBAZpump,2419.43,18439.124614154185,"07/11/2026, 04:13:00 CDT",https://x.com/HOODRATonSolana,DVMkhiQe1D8yenuEgsW44NjRn9LfVQjGEpZcez5x7Mff; FczAVrSD8WPAymBhWrcFy8QsRjgDqmFkuqWa1KkAbzuD; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; 97K6nsFhBWDKwQf6heDDhDtsCRC4779LPHSFZkc2zqK4
Profit Addicted Internet Dogs,PAID,5wnUhwQ3ADGWsFi35ju82qgwmhWwWTt6NExZiJdYpump,2236.61,20927.197749951596,"07/11/2026, 03:28:26 CDT",https://x.com/i/communities/2022251357097377922,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT
caaaaaaaaaaaaaaaaaaaaaaaaaaaaaat,caaaaaaaaaaat,E8bCWdPta3jQyGQyJMACD6mrvbZ3wkkRhdAjdKhipump,2784.42,11133.636893742081,"07/11/2026, 03:15:37 CDT",,CfkaAru9ArJ2tAStYHvbAyRBJL3EhDzsWYV2KYg9shxB
