name,symbol,contractAddress,marketCap,peakMarketCap,pairCreatedAt,xLink,wallets
quantum coin,qCOIN,AsQ3LSyeTgqnKr2oT7yw32tQ48bhTSVs2FT9WiCkrHEp,2351.7,23639.743597490113,"07/07/2026, 11:50:54 CDT",,4sAUSQFdvWRBxR8UoLBYbw8CcXuwXWxnN8pXa4mtm5nU; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; sAdNbe1cKNMDqDsa4npB3TfL62T14uAo2MsUQfLvzLT; 6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC; 3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww
Bulltardio,Bulltardio,44o7UFUFAnVV1HrBsZXEcBUZuR1fRqh2SuSMN2pApump,2351.54,15603.500420338258,"07/07/2026, 11:49:30 CDT",,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9
Just a Meme,Meme,2Xqf4nwM5EeezMLkcXvmBZhgkkA46d7W9M7tWprVpump,2336.29,15647.884626252277,"07/07/2026, 11:49:20 CDT",,831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs; DuQabFqdC9eeBULVa7TTdZYxe8vK8ct5DZr4Xcf7docy; ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU; 3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww
GangTwinMudNiggaSlime,Ebonics,Asff1TcysYhPAabS2dWyQwPMM55e6XwqKWL7nuvKpump,2327.72,13064.923669784013,"07/07/2026, 11:39:33 CDT",,4sAUSQFdvWRBxR8UoLBYbw8CcXuwXWxnN8pXa4mtm5nU; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9
make topblasting great again,MTGA,3B4ThMHeRBTS4hHQnPV3FkM3cEAS2AFPNPkWQmKZpump,2281.01,14323.915722971093,"07/07/2026, 11:31:59 CDT",,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o; 75GMVrr2xfgAeybuNg1VMHqFE3GTFJLzEHo6xC4MwUzF
Running OF The Bulls,BULLRUN,Ep6JbNSeXCsMJ7cN415uwy84M1Xauw1rA2FviKoFpump,2299.63,11028.45917271638,"07/07/2026, 11:28:46 CDT",,99xnE2zEFi8YhmKDaikc1EvH6ELTQJppnqUwMzmpLXrs; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU
The Hero Dog,BELLA,69QKNBNcbdWbAr6NS6AGs3rQB5AcZushcqftWCHRpump,3667.31,20049.78549699624,"07/07/2026, 11:27:19 CDT",,sAdNbe1cKNMDqDsa4npB3TfL62T14uAo2MsUQfLvzLT
Mostafa Shobeir,Mostafa,8Zvw6JAMjoPXUAe7ug2TD4mcNbauaZcNLhe4xCvZpump,2334.14,19254.065822230088,"07/07/2026, 11:26:26 CDT",,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o
San Fermín,BULLRUN,B6fxRLnAYuPVMVoXSLr6hJoMNC9FkNddTwnJfR2QwSB,2367.2,10136.102100051237,"07/07/2026, 11:25:30 CDT",,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU
CanadaUSAMexico,CUM,CurQve3eNx5rSfw8EDzQxT4DLuf33u7LnmHGHGKMDPpf,2274.19,11467.292516859528,"07/07/2026, 11:23:38 CDT",,FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS; CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; 6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC
